,pl_name,ra,dec
18155,Kepler-1315 b,295.8215678,46.0530562
18156,Kepler-1668 b,297.3523076,46.0959309
18157,Kepler-352 c,299.8966237,46.0519022
18158,Kepler-352 d,299.8966237,46.0519022
18159,Kepler-352 c,299.8966237,46.0519022
18160,Kepler-1085 b,287.4776359,46.1411685
18161,Kepler-1912 b,282.1178211,46.2239547
18162,Kepler-1714 b,293.7164655,46.2266878
18163,Kepler-1666 b,297.9516071,46.2647024
18164,Kepler-1666 c,297.9516071,46.2647024
18165,Kepler-1666 b,297.9516071,46.2647024
18166,Kepler-1666 c,297.9516071,46.2647024
18167,Kepler-1666 b,297.9516071,46.2647024
18168,Kepler-1853 b,284.7478834,46.3735415
18169,Kepler-1905 b,292.5733475,46.3668273
18170,Kepler-1905 b,292.5733475,46.3668273
18171,Kepler-1905 b,292.5733475,46.3668273
18172,Kepler-1684 b,294.0054181,46.3106625
18173,Kepler-1681 b,296.6972773,46.3716969
18174,Kepler-1681 b,296.6972773,46.3716969
18175,Kepler-1953 b,287.9680995,46.4705959
18176,Kepler-1774 b,288.5743991,40.9886069
18177,Kepler-1774 b,288.5743991,40.9886069
18178,Kepler-598 c,293.1234493,40.9348005
18179,Kepler-1932 b,285.3314903,41.0638435
18180,Kepler-27 b,292.2367608,41.085871
18181,Kepler-27 b,292.2367608,41.085871
18182,Kepler-27 d,292.2367608,41.085871
18183,Kepler-1312 c,292.9712801,41.0357494
